id,name,budget,spend,clicks,conversions,status
1,Spring Hydration Push,1500.00,450.00,900,80,active
2,Smart Home Flash Sale,2000.00,1200.00,1500,120,active
3,Fitness Clearance,800.00,600.00,500,30,paused
4,Kitchen Essentials Promo,1200.00,1180.00,800,45,active
5,Electronics Weekend Deal,2500.00,2400.00,2000,180,active
6,Summer Fitness Campaign,1000.00,950.00,400,50,active
7,Home Refresh Sale,600.00,100.00,50,0,paused
8,New Year Health Push,1800.00,200.00,1200,95,active
9,Smart Lighting Blitz,1300.00,500.00,700,60,active
10,Outdoor Adventure Week,1700.00,900.00,850,70,active
11,Back-to-School Tech,2200.00,1100.00,1600,150,active
12,Cozy Home Autumn,1400.00,650.00,780,55,active
13,Winter Wellness Drive,1800.00,800.00,920,85,active
14,Gourmet Upgrade Days,900.00,420.00,430,35,active
15,Eco Living Awareness,1100.00,300.00,520,40,active
16,Mother's Day Moments,1500.00,890.00,1000,120,active
17,Father's Gear Fest,1300.00,975.00,860,65,active
18,Flash Fitness Frenzy,700.00,400.00,480,42,active
19,Midnight Gadget Drop,2100.00,1300.00,1750,190,active
20,Daily Routines Boost,950.00,350.00,560,38,active
21,Dorm Ready Essentials,800.00,200.00,420,33,paused
22,Pet Comfort Launch,600.00,150.00,310,28,active
23,Sizzling Summer Sips,900.00,310.00,500,48,active
24,Garden Glow Event,1000.00,250.00,470,34,paused
25,Weekend Warrior Gear,1200.00,760.00,690,60,active
26,Recharge Retreat Sale,850.00,410.00,360,32,active
27,Kitchen Reset Flash,950.00,500.00,510,46,active
28,Mindful Living Series,700.00,260.00,320,28,active
29,Tech Tuesday Boost,1600.00,900.00,1300,140,active
30,Ultimate Sleep Promo,1250.00,500.00,620,57,active
31,Home Office Upgrade,1900.00,1400.00,1500,150,active
32,Green Thumb Challenge,1000.00,430.00,400,37,active
33,Clean Living Kickoff,1050.00,600.00,610,55,active
34,Power Up Commute,750.00,280.00,420,32,paused
35,Weekend Patio Party,1150.00,450.00,520,41,active
36,Early Bird Savings,500.00,120.00,220,18,paused
37,Night Owl Deals,650.00,200.00,350,26,active
38,Festive Glow Guide,1300.00,700.00,860,74,active
39,Movers & Shakers,1450.00,990.00,910,82,active
40,Staycation Upgrade,1600.00,820.00,780,63,active
41,Gift Joy Bundles,1700.00,1500.00,1400,200,active
42,Sports Season Kickoff,900.00,470.00,560,50,active
43,Spring Cleaning Blast,1250.00,640.00,710,66,active
44,Summer Hydration Tour,1350.00,760.00,830,77,active
45,Lightning Daily Deals,800.00,420.00,520,48,active
46,Comfort Cook Promo,1000.00,580.00,600,58,active
47,Explorer Travel Prep,1500.00,620.00,680,55,active
48,Work-From-Anywhere,2100.00,1500.00,1700,180,active
49,Cozy Night In,950.00,360.00,400,34,active
50,Peak Performance Week,1400.00,900.00,860,90,active
51,Calm & Cozy Corner,700.00,210.00,300,24,paused
52,Smart Home 360,2300.00,1500.00,1800,210,active
53,Summer Fitness Challenge,1250.00,600.00,720,70,active
54,Bright Ideas Expo,900.00,330.00,480,40,active
55,Quick Meal Mastery,1000.00,510.00,530,49,active
56,Morning Routine Revamp,850.00,370.00,420,36,active
57,Backyard Upgrade Bash,1500.00,820.00,900,78,active
58,Mobile Must-Haves,1200.00,500.00,640,59,active
59,Travel Light Essentials,1100.00,430.00,450,43,active
60,Recharge & Relax,950.00,310.00,360,31,active